Node1	Node2	Association	weight_base	weight_tip
001_unidentified Phaeosphaeriaceae	059_unidentified Sandonidae	negative		1
002_Penicillium	193_Longimicrobiaceae	positive		1
003_Talaromyces	015_Trichoderma	positive		1
003_Talaromyces	082_Bryobacter	positive		1
006_Chrysosporium	039_Eocercomonas	positive		1
006_Chrysosporium	249_Devosia	negative		1
010_unidentified Pseudeurotiaceae	022_unidentified Stachybotryaceae	positive		1
010_unidentified Pseudeurotiaceae	220_LWQ8	positive		1
011_unidentified Leotiomycetes	039_Eocercomonas	positive	1	
011_unidentified Leotiomycetes	134_Chitinophaga	positive	1	
012_unidentified Pyronemataceae	260_unidentified Rhizobiaceae	negative		1
014_unidentified Bionectriaceae	035_unidentified Spizellomycetales	negative		1
015_Trichoderma	112_unidentified Microbacteriaceae	positive		1
015_Trichoderma	188_unidentified Paenibacillaceae	positive	1	
016_Acremonium	049_Group-Te	positive		1
016_Acremonium	341_Locationcr3_tip	positive		1
017_Sarocladium	018_Fusarium	positive		1
017_Sarocladium	059_unidentified Sandonidae	positive	1	
018_Fusarium	019_Fusicolla	positive		1
020_Thelonectria	018_Fusarium	positive		1
020_Thelonectria	055_Flectomonas	negative	1	
020_Thelonectria	312_unidentified Pseudomonadaceae	positive		1
021_Niesslia	086_Stenotrophobacter	positive	1	
021_Niesslia	094_Vicinamibacteraceae	positive	1	
021_Niesslia	212_unidentified Sandaracinaceae	positive	1	
021_Niesslia	225_WD2101soilgroup	positive		1
022_unidentified Stachybotryaceae	218_CandidatusLloydbacteria	negative	1	
024_Dichotomopilus	005_Leucothecium	positive		1
025_Trichocladium	009_unidentified Helotiales	negative		1
025_Trichocladium	015_Trichoderma	negative		1
026_unidentified Chaetomiaceae	022_unidentified Stachybotryaceae	positive		1
026_unidentified Chaetomiaceae	059_unidentified Sandonidae	positive		1
027_Schizothecium	336_AT_rhizo	positive	1	
028_unidentified Sordariomycetes	004_Gymnoascus	positive		1
028_unidentified Sordariomycetes	183_Fictibacillus	positive		1
029_Microdochium	089_Subgroup7	positive		1
030_unidentified Ascomycota	038_Cercomonas	positive		1
031_Malassezia	039_Eocercomonas	negative		1
031_Malassezia	067_unidentified Limnofilidae	negative		1
032_Rhodotorula	052_Dujardina	positive		1
032_Rhodotorula	066_Limnofila	positive		1
032_Rhodotorula	074_Tremula	negative		1
032_Rhodotorula	221_TM7a	positive		1
033_unidentified Lobulomycetales	019_Fusicolla	positive	1	
033_unidentified Lobulomycetales	049_Group-Te	positive		1
033_unidentified Lobulomycetales	111_Leifsonia	positive	1	
033_unidentified Lobulomycetales	149_unidentified Microscillaceae	negative		1
034_Rhizophlyctis	083_CandidatusSolibacter	positive		1
034_Rhizophlyctis	202_Vulgatibacter	negative		1
035_unidentified Spizellomycetales	005_Leucothecium	positive		1
035_unidentified Spizellomycetales	106_Blastococcus	positive	1	
036_unidentified Chytridiomycota	305_EPR3968-O8a-Bc78	positive		1
037_Rhizopus	046_unidentified Euglyphida	positive		1
037_Rhizopus	051_unidentified Allapsidae	positive		1
038_Cercomonas	038_Cercomonas	positive	3	3
038_Cercomonas	039_Eocercomonas	positive	1	
038_Cercomonas	150_Dyadobacter	positive	1	1
038_Cercomonas	335_Luteolibacter	positive		1
038_Cercomonas	339_Locationcr2_base	positive	1	
039_Eocercomonas	039_Eocercomonas	positive	1	2
039_Eocercomonas	049_Group-Te	positive	2	2
039_Eocercomonas	335_Luteolibacter	negative		1
040_Metabolomonas	001_unidentified Phaeosphaeriaceae	positive		1
040_Metabolomonas	039_Eocercomonas	negative		1
040_Metabolomonas	323_SAR324clade(MarinegroupB)	positive	1	
041_Paracercomonas	039_Eocercomonas	negative	3	
041_Paracercomonas	039_Eocercomonas	positive	1	1
041_Paracercomonas	041_Paracercomonas	negative		1
