Node1	Node2	Association	weight_base	weight_tip
002_Eurotiales	008_Hypocreales	positive		1
002_Eurotiales	093_Longimicrobiales	positive		1
003_Onygenales	080_S085	positive		1
003_Onygenales	124_Rhizobiales	negative		2
004_Helotiales	090_Paenibacillales	positive		1
005_Thelebolales	008_Hypocreales	positive		1
005_Thelebolales	111_Saccharimonadales	positive		1
006_unidentified Leotiomycetes	020_Cercomonadida	positive	1	
006_unidentified Leotiomycetes	066_Chitinophagales	positive	1	
007_Pezizales	124_Rhizobiales	negative		1
008_Hypocreales	008_Hypocreales	positive		3
008_Hypocreales	015_Lobulomycetales	positive	1	
008_Hypocreales	055_Micrococcales	positive		1
008_Hypocreales	090_Paenibacillales	positive	1	
008_Hypocreales	099_Myxococcales	positive		1
008_Hypocreales	103_Polyangiales	positive	1	
008_Hypocreales	124_Rhizobiales	positive		1
008_Hypocreales	138_Pseudomonadales	negative	1	
008_Hypocreales	138_Pseudomonadales	positive		3
008_Hypocreales	155_Locationcr3_tip	positive		1
009_Sordariales	003_Onygenales	positive		1
009_Sordariales	004_Helotiales	negative		1
009_Sordariales	008_Hypocreales	negative		1
009_Sordariales	008_Hypocreales	positive		1
009_Sordariales	022_Cryptofilida	negative		1
009_Sordariales	024_Glissomonadida	negative		1
009_Sordariales	024_Glissomonadida	positive		1
009_Sordariales	044_Subgroup5	positive		1
010_unidentified Sordariomycetes	003_Onygenales	positive		1
010_unidentified Sordariomycetes	089_Bacillales	positive		1
012_unidentified Ascomycota	020_Cercomonadida	positive		1
014_Sporidiobolales	024_Glissomonadida	positive		1
014_Sporidiobolales	028_Limnofilida	positive		1
014_Sporidiobolales	032_Tremulida	negative		1
014_Sporidiobolales	111_Saccharimonadales	positive		1
015_Lobulomycetales	055_Micrococcales	positive	1	
017_Spizellomycetales	003_Onygenales	positive		1
017_Spizellomycetales	008_Hypocreales	negative		1
017_Spizellomycetales	051_Corynebacteriales	negative		1
017_Spizellomycetales	058_Streptomycetales	negative		1
018_unidentified Chytridiomycota	111_Saccharimonadales	negative		1
018_unidentified Chytridiomycota	134_EPR3968-O8a-Bc78	positive		1
020_Cercomonadida	001_Pleosporales	positive		1
020_Cercomonadida	003_Onygenales	positive		1
020_Cercomonadida	013_Malasseziales	negative		1
020_Cercomonadida	020_Cercomonadida	negative	3	2
020_Cercomonadida	020_Cercomonadida	positive	12	10
020_Cercomonadida	022_Cryptofilida	negative		1
020_Cercomonadida	022_Cryptofilida	positive		1
020_Cercomonadida	023_Euglyphida	positive		2
020_Cercomonadida	024_Glissomonadida	negative	2	4
020_Cercomonadida	024_Glissomonadida	positive	7	12
020_Cercomonadida	025_Granofilosea	positive	1	
020_Cercomonadida	028_Limnofilida	positive		3
020_Cercomonadida	029_Spongomonadida	positive	1	
020_Cercomonadida	048_IMCC26256	positive		1
020_Cercomonadida	049_Microtrichales	negative		1
020_Cercomonadida	055_Micrococcales	negative	1	
020_Cercomonadida	055_Micrococcales	positive	1	
020_Cercomonadida	061_Gaiellales	negative		1
020_Cercomonadida	067_Cytophagales	positive	2	2
020_Cercomonadida	068_Sphingobacteriales	positive	1	
020_Cercomonadida	081_KD4-96	positive	1	
020_Cercomonadida	084_Sericytochromatia	negative		1
020_Cercomonadida	084_Sericytochromatia	positive	1	
020_Cercomonadida	086_Babeliales	positive	1	
020_Cercomonadida	089_Bacillales	positive		1
020_Cercomonadida	090_Paenibacillales	positive	1	
020_Cercomonadida	099_Myxococcales	positive		1
020_Cercomonadida	111_Saccharimonadales	negative		1
020_Cercomonadida	111_Saccharimonadales	positive		1
020_Cercomonadida	113_Pirellulales	negative	1	
020_Cercomonadida	124_Rhizobiales	positive	1	
020_Cercomonadida	126_Rhodospirillales	positive		1
020_Cercomonadida	128_Sphingomonadales	negative	1	
020_Cercomonadida	128_Sphingomonadales	positive	1	
020_Cercomonadida	138_Pseudomonadales	positive	1	
020_Cercomonadida	143_SAR324clade(MarinegroupB)	positive	1	
020_Cercomonadida	153_Locationcr2_base	positive	1	
021_Cryomonadida	024_Glissomonadida	negative		1
021_Cryomonadida	024_Glissomonadida	positive	1	
021_Cryomonadida	103_Polyangiales	positive	1	
022_Cryptofilida	008_Hypocreales	negative		1
022_Cryptofilida	111_Saccharimonadales	positive	1	
023_Euglyphida	019_Mucorales	positive		1
023_Euglyphida	028_Limnofilida	positive	1	
023_Euglyphida	124_Rhizobiales	positive	1	
024_Glissomonadida	001_Pleosporales	negative		1
024_Glissomonadida	003_Onygenales	negative		1
024_Glissomonadida	003_Onygenales	positive		1
024_Glissomonadida	004_Helotiales	positive	1	
024_Glissomonadida	007_Pezizales	positive	1	
024_Glissomonadida	008_Hypocreales	negative	1	1
024_Glissomonadida	008_Hypocreales	positive	1	2
024_Glissomonadida	015_Lobulomycetales	positive		1
024_Glissomonadida	019_Mucorales	positive		1
024_Glissomonadida	024_Glissomonadida	negative	7	12
024_Glissomonadida	024_Glissomonadida	positive	34	21
024_Glissomonadida	026_Imbricatea	negative		1
024_Glissomonadida	027_Krakenida	positive	1	
024_Glissomonadida	028_Limnofilida	negative	1	1
024_Glissomonadida	028_Limnofilida	positive	12	3
024_Glissomonadida	053_Glycomycetales	positive		1
024_Glissomonadida	055_Micrococcales	negative	1	
024_Glissomonadida	055_Micrococcales	positive	1	1
024_Glissomonadida	056_Propionibacteriales	positive		1
024_Glissomonadida	073_Oligoflexales	positive	2	
024_Glissomonadida	084_Sericytochromatia	positive		1
024_Glissomonadida	090_Paenibacillales	positive	1	1
024_Glissomonadida	095_Latescibacterales	negative		1
024_Glissomonadida	099_Myxococcales	positive	1	1
024_Glissomonadida	100_Haliangiales	negative		1
024_Glissomonadida	110_Parcubacteria	negative	1	
024_Glissomonadida	111_Saccharimonadales	positive	2	1
024_Glissomonadida	113_Pirellulales	negative	1	
024_Glissomonadida	115_Azospirillales	negative		1
024_Glissomonadida	115_Azospirillales	positive	1	2
024_Glissomonadida	121_Micropepsales	negative		2
024_Glissomonadida	122_Paracaedibacterales	negative	1	1
024_Glissomonadida	124_Rhizobiales	negative	4	
024_Glissomonadida	124_Rhizobiales	positive	6	1
024_Glissomonadida	125_Rhodobacterales	positive		1
024_Glissomonadida	128_Sphingomonadales	positive	1	
024_Glissomonadida	138_Pseudomonadales	negative	1	
024_Glissomonadida	138_Pseudomonadales	positive	1	1
024_Glissomonadida	150_AT_rhizo	negative	1	
024_Glissomonadida	151_Locationcr1_base	positive	1	
024_Glissomonadida	154_Locationcr2_tip	negative		1
024_Glissomonadida	155_Locationcr3_tip	positive		1
024_Glissomonadida	157_Locationprim_tip	positive		1
025_Granofilosea	073_Oligoflexales	positive		1
025_Granofilosea	124_Rhizobiales	negative		1
027_Krakenida	153_Locationcr2_base	negative	1	
028_Limnofilida	013_Malasseziales	negative		1
028_Limnofilida	028_Limnofilida	negative	1	
028_Limnofilida	028_Limnofilida	positive	5	
028_Limnofilida	055_Micrococcales	negative	1	
028_Limnofilida	115_Azospirillales	positive	1	
028_Limnofilida	143_SAR324clade(MarinegroupB)	positive		1
030_Thaumatomonadida	024_Glissomonadida	positive	1	
030_Thaumatomonadida	025_Granofilosea	positive	1	
030_Thaumatomonadida	055_Micrococcales	negative		1
030_Thaumatomonadida	055_Micrococcales	positive		1
030_Thaumatomonadida	110_Parcubacteria	positive	1	
031_Thecofilosea	020_Cercomonadida	positive		1
031_Thecofilosea	024_Glissomonadida	negative		1
032_Tremulida	024_Glissomonadida	positive	2	1
032_Tremulida	081_KD4-96	positive	1	
033_unidentified Cercozoa	020_Cercomonadida	negative	1	
033_unidentified Cercozoa	024_Glissomonadida	negative	2	
033_unidentified Cercozoa	028_Limnofilida	negative		1
033_unidentified Cercozoa	033_unidentified Cercozoa	positive		1
033_unidentified Cercozoa	066_Chitinophagales	positive	1	
034_Vampyrellida	017_Spizellomycetales	positive	1	
035_Abditibacteriales	055_Micrococcales	negative	1	
035_Abditibacteriales	061_Gaiellales	positive	1	
035_Abditibacteriales	093_Longimicrobiales	negative	1	
036_Acidobacteriales	067_Cytophagales	negative		1
036_Acidobacteriales	068_Sphingobacteriales	negative	1	
036_Acidobacteriales	099_Myxococcales	negative	1	
036_Acidobacteriales	124_Rhizobiales	negative	1	
036_Acidobacteriales	124_Rhizobiales	positive		3
036_Acidobacteriales	128_Sphingomonadales	negative	1	
036_Acidobacteriales	135_GammaproteobacteriaIncertaeSedis	positive		1
036_Acidobacteriales	137_PLTA13	positive	1	
036_Acidobacteriales	148_Pedosphaerales	negative		1
036_Acidobacteriales	148_Pedosphaerales	positive	1	
037_Bryobacterales	002_Eurotiales	positive		1
037_Bryobacterales	066_Chitinophagales	positive		1
037_Bryobacterales	092_Gemmatimonadales	positive	1	
037_Bryobacterales	103_Polyangiales	negative	1	
037_Bryobacterales	104_Nitrospirales	positive		1
037_Bryobacterales	124_Rhizobiales	positive		1
038_Solibacterales	016_Rhizophlyctidales	positive		1
038_Solibacterales	121_Micropepsales	positive		1
039_Subgroup2	134_EPR3968-O8a-Bc78	positive		1
039_Subgroup2	136_KI89Aclade	positive		1
040_Blastocatellales	008_Hypocreales	positive	1	
040_Blastocatellales	020_Cercomonadida	positive		1
040_Blastocatellales	024_Glissomonadida	negative		1
040_Blastocatellales	043_Subgroup25	positive		1
040_Blastocatellales	067_Cytophagales	positive	1	
040_Blastocatellales	073_Oligoflexales	positive		1
040_Blastocatellales	076_SBR1031	positive	1	
040_Blastocatellales	089_Bacillales	positive	2	
040_Blastocatellales	096_Latescibacterota	positive		1
040_Blastocatellales	120_Micavibrionales	positive	1	
040_Blastocatellales	124_Rhizobiales	negative	1	
040_Blastocatellales	128_Sphingomonadales	negative	1	
041_Pyrinomonadales	068_Sphingobacteriales	positive	1	
041_Pyrinomonadales	124_Rhizobiales	negative	1	
041_Pyrinomonadales	128_Sphingomonadales	negative	1	
042_Subgroup7	011_Xylariales	positive		1
042_Subgroup7	049_Microtrichales	positive		1
042_Subgroup7	068_Sphingobacteriales	positive	1	
042_Subgroup7	090_Paenibacillales	negative		1
042_Subgroup7	100_Haliangiales	positive	1	
043_Subgroup25	104_Nitrospirales	positive		1
044_Subgroup5	023_Euglyphida	positive	1	
044_Subgroup5	038_Solibacterales	positive	1	
044_Subgroup5	098_bacteriap25	positive		1
044_Subgroup5	100_Haliangiales	positive	1	
044_Subgroup5	118_Dongiales	positive		1
044_Subgroup5	124_Rhizobiales	positive	1	
044_Subgroup5	130_Burkholderiales	positive	1	
046_Vicinamibacterales	008_Hypocreales	negative		1
046_Vicinamibacterales	008_Hypocreales	positive	1	
046_Vicinamibacterales	024_Glissomonadida	negative	1	
046_Vicinamibacterales	024_Glissomonadida	positive	1	
046_Vicinamibacterales	035_Abditibacteriales	positive	1	
046_Vicinamibacterales	046_Vicinamibacterales	positive	1	
046_Vicinamibacterales	061_Gaiellales	positive		1
046_Vicinamibacterales	090_Paenibacillales	negative		1
046_Vicinamibacterales	092_Gemmatimonadales	positive		1
046_Vicinamibacterales	104_Nitrospirales	positive		1
046_Vicinamibacterales	107_CandidatusAdlerbacteria	negative	1	
046_Vicinamibacterales	124_Rhizobiales	positive		2
046_Vicinamibacterales	126_Rhodospirillales	positive	1	
046_Vicinamibacterales	130_Burkholderiales	positive	1	
046_Vicinamibacterales	131_CCD24	positive	1	1
047_Actinomarinales	081_KD4-96	positive		1
047_Actinomarinales	124_Rhizobiales	positive		1
048_IMCC26256	102_Nannocystales	positive		1
050_Catenulisporales	020_Cercomonadida	negative	1	
051_Corynebacteriales	024_Glissomonadida	positive		2
