Plant;Compartment;Location;Root_section;Root_type;Label;massfrac_13C_rhizo;massfrac_13C_root;massfrac_13C_rhizo_percent;massfrac_13C_root_percent
1;sphere;Primary tip;tip;Primary;13C;0.17482568;0.482351902;17.482568;48.2351902
1;sphere;Primary base;base;Primary;13C;0.043158031;0.169553311;4.3158031;16.9553311
1;sphere;Seminal tip;tip;Seminal;13C;0.226647765;0.562658375;22.6647765;56.2658375
1;sphere;Seminal base;base;Seminal;13C;0.061743227;0.247329479;6.1743227;24.7329479
1;sphere;Crown 1 tip;tip;Crown 1;13C;0.185000873;0.760732407;18.5000873;76.0732407
1;sphere;Crown 1 base;base;Crown 1;13C;0.078299925;0.480345587;7.8299925;48.0345587
1;sphere;Crown 2 tip;tip;Crown 2;13C;0.175192344;0.734445181;17.5192344;73.4445181
1;sphere;Crown 2 base;base;Crown 2;13C;0.101509753;0.704048192;10.1509753;70.4048192
1;sphere;Crown 3 tip;tip;Crown 3;13C;0.134429855;0.64780298;13.4429855;64.780298
2;sphere;Primary tip;tip;Primary;13C;0.096531621;0.407869114;9.6531621;40.7869114
2;sphere;Primary base;base;Primary;13C;0.036505298;0.143037077;3.6505298;14.3037077
2;sphere;Seminal tip;tip;Seminal;13C;0.14544187;0.657868593;14.544187;65.7868593
2;sphere;Seminal base;base;Seminal;13C;0.057788495;0.253112533;5.7788495;25.3112533
2;sphere;Crown 1 tip;tip;Crown 1;13C;0.219786329;0.735906029;21.9786329;73.5906029
2;sphere;Crown 1 base;base;Crown 1;13C;0.076798912;0.52575218;7.6798912;52.575218
2;sphere;Crown 2 tip;tip;Crown 2;13C;0.160528436;0.653421703;16.0528436;65.3421703
2;sphere;Crown 2 base;base;Crown 2;13C;0.130002643;0.813960949;13.0002643;81.3960949
2;sphere;Crown 3 tip;tip;Crown 3;13C;0.119439431;0.461516682;11.9439431;46.1516682
3;sphere;Primary tip;tip;Primary;13C;0.175522068;0.500477946;17.5522068;50.0477946
3;sphere;Primary base;base;Primary;13C;0.042747488;0.147917207;4.2747488;14.7917207
3;sphere;Seminal tip;tip;Seminal;13C;0.190825036;0.686636133;19.0825036;68.6636133
3;sphere;Seminal base;base;Seminal;13C;0.072552712;0.243911522;7.2552712;24.3911522
3;sphere;Crown 1 tip;tip;Crown 1;13C;0.15792186;0.735353225;15.792186;73.5353225
3;sphere;Crown 1 base;base;Crown 1;13C;0.124305527;0.620627664;12.4305527;62.0627664
3;sphere;Crown 2 tip;tip;Crown 2;13C;0.158415086;0.637571933;15.8415086;63.7571933
3;sphere;Crown 2 base;base;Crown 2;13C;0.154968053;0.873329926;15.4968053;87.3329926
3;sphere;Crown 3 tip;tip;Crown 3;13C;0.10423441;0.571019008;10.423441;57.1019008
4;sphere;Primary tip;tip;Primary;13C;0.143726252;0.533138501;14.3726252;53.3138501
4;sphere;Primary base;base;Primary;13C;0.02969699;0.13345535;2.969699;13.345535
4;sphere;Seminal tip;tip;Seminal;13C;0.180021946;0.617738642;18.0021946;61.7738642
4;sphere;Seminal base;base;Seminal;13C;0.04736142;0.219277493;4.736142;21.9277493
4;sphere;Crown 1 tip;tip;Crown 1;13C;0.182462633;0.781892333;18.2462633;78.1892333
4;sphere;Crown 1 base;base;Crown 1;13C;0.113747477;0.591332274;11.3747477;59.1332274
4;sphere;Crown 2 tip;tip;Crown 2;13C;0.162547344;0.696933742;16.2547344;69.6933742
4;sphere;Crown 2 base;base;Crown 2;13C;0.132691152;0.831516336;13.2691152;83.1516336
4;sphere;Crown 3 tip;tip;Crown 3;13C;0.174919636;0.478466228;17.4919636;47.8466228
5;sphere;Primary tip;tip;Primary;12C;0.011783668;0.012135904;1.1783668;1.2135904
5;sphere;Primary base;base;Primary;12C;0.011808442;0.01196473;1.1808442;1.196473
5;sphere;Seminal tip;tip;Seminal;12C;0.011753043;0.012038455;1.1753043;1.2038455
5;sphere;Seminal base;base;Seminal;12C;0.011893707;0.012130227;1.1893707;1.2130227
5;sphere;Crown 1 tip;tip;Crown 1;12C;NA;0.012025338;NA;1.2025338
5;sphere;Crown 1 base;base;Crown 1;12C;0.011956793;0.012479665;1.1956793;1.2479665
5;sphere;Crown 2 tip;tip;Crown 2;12C;0.012023706;0.012063769;1.2023706;1.2063769
5;sphere;Crown 2 base;base;Crown 2;12C;0.011826782;0.01193841;1.1826782;1.193841
5;sphere;Crown 3 tip;tip;Crown 3;12C;0.011845013;0.012136996;1.1845013;1.2136996
6;sphere;Primary tip;tip;Primary;12C;0.011801013;0.012018905;1.1801013;1.2018905
6;sphere;Primary base;base;Primary;12C;0.011780986;0.011905688;1.1780986;1.1905688
6;sphere;Seminal tip;tip;Seminal;12C;0.011801802;0.012066418;1.1801802;1.2066418
6;sphere;Seminal base;base;Seminal;12C;0.01189468;0.012012871;1.189468;1.2012871
6;sphere;Crown 1 tip;tip;Crown 1;12C;0.012386201;0.012048738;1.2386201;1.2048738
6;sphere;Crown 1 base;base;Crown 1;12C;0.011897967;0.012120333;1.1897967;1.2120333
6;sphere;Crown 2 tip;tip;Crown 2;12C;0.011850528;0.012139169;1.1850528;1.2139169
