Sample_name	Sample_ID	Mean	SD
prim	0	0	0
sem	0	0	0
cr1	0	0	0
cr2	0	0	0
cr3	0	0	0
cr4	0	0	0
prim	6	134.85	23.85461171
sem	6	128.3838889	56.44675178
cr1	6	10.57	0
cr2	6	0	0
cr3	6	0	0
cr4	6	0	0
prim	13	191.7533333	9.447668143
sem	13	237.04	44.42829532
cr1	13	143.6827273	22.27844298
cr2	13	49.82545455	36.1619688
cr3	13	0	0
cr4	13	0	0
prim	20	200.5966667	17.13897702
sem	20	266.2577778	48.59059883
cr1	20	205.1490909	14.61859532
cr2	20	171.5518182	11.87335658
cr3	20	93.72	18.20217569
cr4	20	47.315	11.7309015
