Date;Time;T1;H1;T2;H2;ch1.12CO2;ch2.12CO2;ch2.13CO2
19.09.2021;06:00:15;17.919922;69.445801;17.982178;70.474243;437.376038;467.818176;17.517614
19.09.2021;06:00:25;17.883301;69.448853;17.993164;70.489502;435.621155;471.404175;16.678333
19.09.2021;06:00:35;17.883301;69.522095;17.978516;70.578003;435.087097;467.513;17.44132
19.09.2021;06:00:45;17.883301;69.549561;17.98584;70.556641;435.697449;468.581207;17.059851
19.09.2021;06:00:55;17.890625;69.598389;18.00415;70.602417;435.544861;468.810089;17.365026
19.09.2021;06:01:05;17.86499;69.671631;17.982178;70.639038;436.84198;469.649323;16.449451
19.09.2021;06:01:15;17.963867;69.674683;17.978516;70.733643;436.46051;468.352325;16.907215
19.09.2021;06:01:25;17.879639;69.723511;17.978516;70.730591;436.46051;468.962677;17.059851
19.09.2021;06:01:35;17.886963;69.818115;17.993164;70.779419;436.689392;469.191559;17.365026
19.09.2021;06:01:45;17.901611;69.93103;17.98584;70.852661;435.392273;467.207825;17.212439
19.09.2021;06:01:55;17.883301;69.949341;17.978516;70.950317;436.384216;469.191559;17.136145
19.09.2021;06:02:05;17.875977;70.098877;18.007812;71.035767;436.46051;467.970764;17.82279
19.09.2021;06:02:15;17.883301;70.037842;17.974854;71.096802;436.002625;467.741882;17.517614
19.09.2021;06:02:25;17.890625;70.129395;17.989502;71.142578;437.528625;468.733795;17.059851
19.09.2021;06:02:35;17.861328;70.181274;17.967529;71.206665;436.155212;467.741882;17.059851
19.09.2021;06:02:45;17.886963;70.297241;17.978516;71.279907;435.850037;468.276031;16.602039
19.09.2021;06:02:55;17.875977;70.36438;17.978516;71.356201;435.239685;468.581207;17.059851
19.09.2021;06:03:05;17.901611;70.446777;17.98584;71.438599;436.46051;470.18338;16.907215
19.09.2021;06:03:15;17.886963;70.53833;17.967529;71.487427;436.765686;468.733795;16.830921
19.09.2021;06:03:25;17.890625;70.489502;17.989502;71.533203;435.468567;468.352325;16.144276
19.09.2021;06:03:35;17.919922;70.559692;17.982178;71.572876;434.781921;467.665588;16.983557
19.09.2021;06:03:45;17.912598;70.529175;17.982178;71.664429;437.147156;468.199738;16.449451
19.09.2021;06:03:55;17.886963;70.474243;17.956543;71.621704;435.773743;468.428619;17.212439
19.09.2021;06:04:05;17.905273;70.510864;17.978516;71.630859;436.002625;471.633057;17.44132
19.09.2021;06:04:15;17.93457;70.43457;17.978516;71.582031;437.681213;469.496735;17.136145
19.09.2021;06:04:25;17.905273;70.401001;17.974854;71.499634;435.239685;468.581207;15.915394
19.09.2021;06:04:35;17.879639;70.297241;17.978516;71.502686;436.002625;470.641235;17.44132
19.09.2021;06:04:45;17.883301;70.181274;18.000488;71.350098;435.621155;470.641235;17.136145
19.09.2021;06:04:55;17.912598;70.114136;17.963867;71.276855;436.536804;469.267853;16.602039
19.09.2021;06:05:05;17.883301;70.046997;17.974854;71.19751;435.087097;469.878204;16.602039
19.09.2021;06:05:15;17.905273;70.037842;17.982178;71.136475;436.231506;470.030792;16.678333
19.09.2021;06:05:25;17.919922;69.979858;17.967529;71.127319;434.934509;471.861938;17.593908
19.09.2021;06:05:35;17.894287;70.016479;17.98584;71.148682;437.070862;471.251587;16.830921
19.09.2021;06:05:45;17.93457;70.022583;17.960205;71.066284;436.765686;469.878204;18.433189
19.09.2021;06:05:55;17.919922;70.040894;17.978516;71.124268;435.468567;469.191559;16.830921
19.09.2021;06:06:05;17.93457;70.089722;17.98584;71.148682;435.773743;469.191559;16.296864
